detalle_id,venta_id,producto_id,cantidad,precio_unitario,subtotal
171,171,71,3,10744.75,32234.25
172,172,72,4,10882.00,43528.00
173,173,73,1,11019.25,11019.25
174,174,74,2,11156.50,22313.00
175,175,75,3,11293.75,33881.25
176,176,76,4,11431.00,45724.00
177,177,77,1,11568.25,11568.25
178,178,78,2,11705.50,23411.00
179,179,79,3,11842.75,35528.25
180,180,80,4,11980.00,47920.00
181,181,81,1,12117.25,12117.25
182,182,82,2,12254.50,24509.00
183,183,83,3,12391.75,37175.25
184,184,84,4,12529.00,50116.00
185,185,85,1,12666.25,12666.25
186,186,86,2,12803.50,25607.00
187,187,87,3,12940.75,38822.25
188,188,88,4,13078.00,52312.00
189,189,89,1,13215.25,13215.25
190,190,90,2,13352.50,26705.00
191,191,91,3,13489.75,40469.25
192,192,92,4,13627.00,54508.00
193,193,93,1,13764.25,13764.25
194,194,94,2,13901.50,27803.00
195,195,95,3,14038.75,42116.25
196,196,96,4,14176.00,56704.00
197,197,97,1,14313.25,14313.25
198,198,98,2,14450.50,28901.00
199,199,99,3,14587.75,43763.25
200,200,100,4,14725.00,58900.00
201,201,1,1,1137.25,1137.25
202,202,2,2,1274.50,2549.00
203,203,3,3,1411.75,4235.25
204,204,4,4,1549.00,6196.00
205,205,5,1,1686.25,1686.25
206,206,6,2,1823.50,3647.00
207,207,7,3,1960.75,5882.25
208,208,8,4,2098.00,8392.00
209,209,9,1,2235.25,2235.25
210,210,10,2,2372.50,4745.00
211,211,11,3,2509.75,7529.25
212,212,12,4,2647.00,10588.00
213,213,13,1,2784.25,2784.25
214,214,14,2,2921.50,5843.00
215,215,15,3,3058.75,9176.25
216,216,16,4,3196.00,12784.00
217,217,17,1,3333.25,3333.25
218,218,18,2,3470.50,6941.00
219,219,19,3,3607.75,10823.25
220,220,20,4,3745.00,14980.00
221,221,21,1,3882.25,3882.25
222,222,22,2,4019.50,8039.00
223,223,23,3,4156.75,12470.25
224,224,24,4,4294.00,17176.00
225,225,25,1,4431.25,4431.25
226,226,26,2,4568.50,9137.00
227,227,27,3,4705.75,14117.25
228,228,28,4,4843.00,19372.00
229,229,29,1,4980.25,4980.25
230,230,30,2,5117.50,10235.00
231,231,31,3,5254.75,15764.25
232,232,32,4,5392.00,21568.00
233,233,33,1,5529.25,5529.25
234,234,34,2,5666.50,11333.00
235,235,35,3,5803.75,17411.25
236,236,36,4,5941.00,23764.00
237,237,37,1,6078.25,6078.25
238,238,38,2,6215.50,12431.00
239,239,39,3,6352.75,19058.25
240,240,40,4,6490.00,25960.00
241,241,41,1,6627.25,6627.25
242,242,42,2,6764.50,13529.00
243,243,43,3,6901.75,20705.25
244,244,44,4,7039.00,28156.00
245,245,45,1,7176.25,7176.25
246,246,46,2,7313.50,14627.00
247,247,47,3,7450.75,22352.25
248,248,48,4,7588.00,30352.00
249,249,49,1,7725.25,7725.25
250,250,50,2,7862.50,15725.00
251,251,51,3,7999.75,23999.25
252,252,52,4,8137.00,32548.00
253,253,53,1,8274.25,8274.25
254,254,54,2,8411.50,16823.00
255,255,55,3,8548.75,25646.25
256,256,56,4,8686.00,34744.00
257,257,57,1,8823.25,8823.25
258,258,58,2,8960.50,17921.00
259,259,59,3,9097.75,27293.25
260,260,60,4,9235.00,36940.00
261,261,61,1,9372.25,9372.25
262,262,62,2,9509.50,19019.00
263,263,63,3,9646.75,28940.25
264,264,64,4,9784.00,39136.00
265,265,65,1,9921.25,9921.25
266,266,66,2,10058.50,20117.00
267,267,67,3,10195.75,30587.25
268,268,68,4,10333.00,41332.00
269,269,69,1,10470.25,10470.25
270,270,70,2,10607.50,21215.00
271,271,71,3,10744.75,32234.25
272,272,72,4,10882.00,43528.00
273,273,73,1,11019.25,11019.25
274,274,74,2,11156.50,22313.00
275,275,75,3,11293.75,33881.25
276,276,76,4,11431.00,45724.00
277,277,77,1,11568.25,11568.25
278,278,78,2,11705.50,23411.00
279,279,79,3,11842.75,35528.25
280,280,80,4,11980.00,47920.00
281,281,81,1,12117.25,12117.25
282,282,82,2,12254.50,24509.00
283,283,83,3,12391.75,37175.25
284,284,84,4,12529.00,50116.00
285,285,85,1,12666.25,12666.25
286,286,86,2,12803.50,25607.00
287,287,87,3,12940.75,38822.25
288,288,88,4,13078.00,52312.00
289,289,89,1,13215.25,13215.25
290,290,90,2,13352.50,26705.00
291,291,91,3,13489.75,40469.25
292,292,92,4,13627.00,54508.00
293,293,93,1,13764.25,13764.25
294,294,94,2,13901.50,27803.00
295,295,95,3,14038.75,42116.25
296,296,96,4,14176.00,56704.00
297,297,97,1,14313.25,14313.25
298,298,98,2,14450.50,28901.00
299,299,99,3,14587.75,43763.25
300,300,100,4,14725.00,58900.00
301,301,1,1,1137.25,1137.25
302,302,2,2,1274.50,2549.00
303,303,3,3,1411.75,4235.25
304,304,4,4,1549.00,6196.00
305,305,5,1,1686.25,1686.25
306,306,6,2,1823.50,3647.00
307,307,7,3,1960.75,5882.25
308,308,8,4,2098.00,8392.00
309,309,9,1,2235.25,2235.25
310,310,10,2,2372.50,4745.00
311,311,11,3,2509.75,7529.25
312,312,12,4,2647.00,10588.00
313,313,13,1,2784.25,2784.25
314,314,14,2,2921.50,5843.00
315,315,15,3,3058.75,9176.25
316,316,16,4,3196.00,12784.00
317,317,17,1,3333.25,3333.25
318,318,18,2,3470.50,6941.00
319,319,19,3,3607.75,10823.25
320,320,20,4,3745.00,14980.00
321,321,21,1,3882.25,3882.25
322,322,22,2,4019.50,8039.00
323,323,23,3,4156.75,12470.25
324,324,24,4,4294.00,17176.00
325,325,25,1,4431.25,4431.25
326,326,26,2,4568.50,9137.00
327,327,27,3,4705.75,14117.25
328,328,28,4,4843.00,19372.00
329,329,29,1,4980.25,4980.25
330,330,30,2,5117.50,10235.00
331,331,31,3,5254.75,15764.25
332,332,32,4,5392.00,21568.00
333,333,33,1,5529.25,5529.25
334,334,34,2,5666.50,11333.00
335,335,35,3,5803.75,17411.25
336,336,36,4,5941.00,23764.00
337,337,37,1,6078.25,6078.25
338,338,38,2,6215.50,12431.00
339,339,39,3,6352.75,19058.25
340,340,40,4,6490.00,25960.00
341,341,41,1,6627.25,6627.25
342,342,42,2,6764.50,13529.00
343,343,43,3,6901.75,20705.25
344,344,44,4,7039.00,28156.00
345,345,45,1,7176.25,7176.25
346,346,46,2,7313.50,14627.00
347,347,47,3,7450.75,22352.25
348,348,48,4,7588.00,30352.00
349,349,49,1,7725.25,7725.25
350,350,50,2,7862.50,15725.00
351,351,51,3,7999.75,23999.25
352,352,52,4,8137.00,32548.00
353,353,53,1,8274.25,8274.25
354,354,54,2,8411.50,16823.00
355,355,55,3,8548.75,25646.25
356,356,56,4,8686.00,34744.00
357,357,57,1,8823.25,8823.25
358,358,58,2,8960.50,17921.00
359,359,59,3,9097.75,27293.25
360,360,60,4,9235.00,36940.00
361,361,61,1,9372.25,9372.25
362,362,62,2,9509.50,19019.00
363,363,63,3,9646.75,28940.25
364,364,64,4,9784.00,39136.00
365,365,65,1,9921.25,9921.25
366,366,66,2,10058.50,20117.00
367,367,67,3,10195.75,30587.25
368,368,68,4,10333.00,41332.00
369,369,69,1,10470.25,10470.25
370,370,70,2,10607.50,21215.00
371,371,71,3,10744.75,32234.25
372,372,72,4,10882.00,43528.00
373,373,73,1,11019.25,11019.25
374,374,74,2,11156.50,22313.00
375,375,75,3,11293.75,33881.25
376,376,76,4,11431.00,45724.00
377,377,77,1,11568.25,11568.25
378,378,78,2,11705.50,23411.00
379,379,79,3,11842.75,35528.25
380,380,80,4,11980.00,47920.00
381,381,81,1,12117.25,12117.25
382,382,82,2,12254.50,24509.00
383,383,83,3,12391.75,37175.25
384,384,84,4,12529.00,50116.00
385,385,85,1,12666.25,12666.25
386,386,86,2,12803.50,25607.00
387,387,87,3,12940.75,38822.25
388,388,88,4,13078.00,52312.00
389,389,89,1,13215.25,13215.25
390,390,90,2,13352.50,26705.00
391,391,91,3,13489.75,40469.25
392,392,92,4,13627.00,54508.00
393,393,93,1,13764.25,13764.25
394,394,94,2,13901.50,27803.00
395,395,95,3,14038.75,42116.25
396,396,96,4,14176.00,56704.00
397,397,97,1,14313.25,14313.25
398,398,98,2,14450.50,28901.00
399,399,99,3,14587.75,43763.25
400,400,100,4,14725.00,58900.00
401,401,1,1,1137.25,1137.25
402,402,2,2,1274.50,2549.00
403,403,3,3,1411.75,4235.25
404,404,4,4,1549.00,6196.00
405,405,5,1,1686.25,1686.25
406,406,6,2,1823.50,3647.00
407,407,7,3,1960.75,5882.25
408,408,8,4,2098.00,8392.00
409,409,9,1,2235.25,2235.25
410,410,10,2,2372.50,4745.00
411,411,11,3,2509.75,7529.25
412,412,12,4,2647.00,10588.00
413,413,13,1,2784.25,2784.25
414,414,14,2,2921.50,5843.00
415,415,15,3,3058.75,9176.25
416,416,16,4,3196.00,12784.00
417,417,17,1,3333.25,3333.25
418,418,18,2,3470.50,6941.00
419,419,19,3,3607.75,10823.25
420,420,20,4,3745.00,14980.00
421,421,21,1,3882.25,3882.25
422,422,22,2,4019.50,8039.00
423,423,23,3,4156.75,12470.25
424,424,24,4,4294.00,17176.00
425,425,25,1,4431.25,4431.25
426,426,26,2,4568.50,9137.00
427,427,27,3,4705.75,14117.25
428,428,28,4,4843.00,19372.00
429,429,29,1,4980.25,4980.25
430,430,30,2,5117.50,10235.00
431,431,31,3,5254.75,15764.25
432,432,32,4,5392.00,21568.00
433,433,33,1,5529.25,5529.25
434,434,34,2,5666.50,11333.00
435,435,35,3,5803.75,17411.25
436,436,36,4,5941.00,23764.00
437,437,37,1,6078.25,6078.25
438,438,38,2,6215.50,12431.00
439,439,39,3,6352.75,19058.25
440,440,40,4,6490.00,25960.00
441,441,41,1,6627.25,6627.25
442,442,42,2,6764.50,13529.00
443,443,43,3,6901.75,20705.25
444,444,44,4,7039.00,28156.00
445,445,45,1,7176.25,7176.25
446,446,46,2,7313.50,14627.00
447,447,47,3,7450.75,22352.25
448,448,48,4,7588.00,30352.00
449,449,49,1,7725.25,7725.25
450,450,50,2,7862.50,15725.00
451,451,51,3,7999.75,23999.25
452,452,52,4,8137.00,32548.00
453,453,53,1,8274.25,8274.25
454,454,54,2,8411.50,16823.00
455,455,55,3,8548.75,25646.25
456,456,56,4,8686.00,34744.00
457,457,57,1,8823.25,8823.25
458,458,58,2,8960.50,17921.00
459,459,59,3,9097.75,27293.25
460,460,60,4,9235.00,36940.00
461,461,61,1,9372.25,9372.25
462,462,62,2,9509.50,19019.00
463,463,63,3,9646.75,28940.25
464,464,64,4,9784.00,39136.00
465,465,65,1,9921.25,9921.25
466,466,66,2,10058.50,20117.00
467,467,67,3,10195.75,30587.25
468,468,68,4,10333.00,41332.00
469,469,69,1,10470.25,10470.25
470,470,70,2,10607.50,21215.00
471,471,71,3,10744.75,32234.25
472,472,72,4,10882.00,43528.00
473,473,73,1,11019.25,11019.25
474,474,74,2,11156.50,22313.00
475,475,75,3,11293.75,33881.25
476,476,76,4,11431.00,45724.00
477,477,77,1,11568.25,11568.25
478,478,78,2,11705.50,23411.00
479,479,79,3,11842.75,35528.25
480,480,80,4,11980.00,47920.00
481,481,81,1,12117.25,12117.25
482,482,82,2,12254.50,24509.00
483,483,83,3,12391.75,37175.25
484,484,84,4,12529.00,50116.00
485,485,85,1,12666.25,12666.25
486,486,86,2,12803.50,25607.00
487,487,87,3,12940.75,38822.25
488,488,88,4,13078.00,52312.00
489,489,89,1,13215.25,13215.25
490,490,90,2,13352.50,26705.00
491,491,91,3,13489.75,40469.25
492,492,92,4,13627.00,54508.00
493,493,93,1,13764.25,13764.25
494,494,94,2,13901.50,27803.00
495,495,95,3,14038.75,42116.25
496,496,96,4,14176.00,56704.00
497,497,97,1,14313.25,14313.25
498,498,98,2,14450.50,28901.00
499,499,99,3,14587.75,43763.25
500,500,100,4,14725.00,58900.00
501,501,1,1,1137.25,1137.25
502,502,2,2,1274.50,2549.00
503,503,3,3,1411.75,4235.25
504,504,4,4,1549.00,6196.00
505,505,5,1,1686.25,1686.25
506,506,6,2,1823.50,3647.00
507,507,7,3,1960.75,5882.25
508,508,8,4,2098.00,8392.00
509,509,9,1,2235.25,2235.25
510,510,10,2,2372.50,4745.00
511,511,11,3,2509.75,7529.25
512,512,12,4,2647.00,10588.00
513,513,13,1,2784.25,2784.25
514,514,14,2,2921.50,5843.00
515,515,15,3,3058.75,9176.25
516,516,16,4,3196.00,12784.00
517,517,17,1,3333.25,3333.25
518,518,18,2,3470.50,6941.00
519,519,19,3,3607.75,10823.25
520,520,20,4,3745.00,14980.00
521,521,21,1,3882.25,3882.25
522,522,22,2,4019.50,8039.00
523,523,23,3,4156.75,12470.25
524,524,24,4,4294.00,17176.00
525,525,25,1,4431.25,4431.25
526,526,26,2,4568.50,9137.00
527,527,27,3,4705.75,14117.25
528,528,28,4,4843.00,19372.00
529,529,29,1,4980.25,4980.25
530,530,30,2,5117.50,10235.00
531,531,31,3,5254.75,15764.25
532,532,32,4,5392.00,21568.00
533,533,33,1,5529.25,5529.25
534,534,34,2,5666.50,11333.00
535,535,35,3,5803.75,17411.25
536,536,36,4,5941.00,23764.00
537,537,37,1,6078.25,6078.25
538,538,38,2,6215.50,12431.00
539,539,39,3,6352.75,19058.25
540,540,40,4,6490.00,25960.00
541,541,41,1,6627.25,6627.25
542,542,42,2,6764.50,13529.00
543,543,43,3,6901.75,20705.25
544,544,44,4,7039.00,28156.00
545,545,45,1,7176.25,7176.25
546,546,46,2,7313.50,14627.00
547,547,47,3,7450.75,22352.25
548,548,48,4,7588.00,30352.00
549,549,49,1,7725.25,7725.25
550,550,50,2,7862.50,15725.00
551,551,51,3,7999.75,23999.25
552,552,52,4,8137.00,32548.00
553,553,53,1,8274.25,8274.25
554,554,54,2,8411.50,16823.00
555,555,55,3,8548.75,25646.25
556,556,56,4,8686.00,34744.00
557,557,57,1,8823.25,8823.25
558,558,58,2,8960.50,17921.00
559,559,59,3,9097.75,27293.25
560,560,60,4,9235.00,36940.00
561,561,61,1,9372.25,9372.25
562,562,62,2,9509.50,19019.00
563,563,63,3,9646.75,28940.25
564,564,64,4,9784.00,39136.00
565,565,65,1,9921.25,9921.25
566,566,66,2,10058.50,20117.00
567,567,67,3,10195.75,30587.25
568,568,68,4,10333.00,41332.00
569,569,69,1,10470.25,10470.25
570,570,70,2,10607.50,21215.00
571,571,71,3,10744.75,32234.25
572,572,72,4,10882.00,43528.00
573,573,73,1,11019.25,11019.25
574,574,74,2,11156.50,22313.00
575,575,75,3,11293.75,33881.25
576,576,76,4,11431.00,45724.00
577,577,77,1,11568.25,11568.25
578,578,78,2,11705.50,23411.00
579,579,79,3,11842.75,35528.25
580,580,80,4,11980.00,47920.00
581,581,81,1,12117.25,12117.25
582,582,82,2,12254.50,24509.00
583,583,83,3,12391.75,37175.25
584,584,84,4,12529.00,50116.00
585,585,85,1,12666.25,12666.25
586,586,86,2,12803.50,25607.00
587,587,87,3,12940.75,38822.25
588,588,88,4,13078.00,52312.00
589,589,89,1,13215.25,13215.25
590,590,90,2,13352.50,26705.00
591,591,91,3,13489.75,40469.25
592,592,92,4,13627.00,54508.00
593,593,93,1,13764.25,13764.25
594,594,94,2,13901.50,27803.00
595,595,95,3,14038.75,42116.25
596,596,96,4,14176.00,56704.00
597,597,97,1,14313.25,14313.25
598,598,98,2,14450.50,28901.00
599,599,99,3,14587.75,43763.25
600,600,100,4,14725.00,58900.00
601,601,1,1,1137.25,1137.25
602,602,2,2,1274.50,2549.00
603,603,3,3,1411.75,4235.25
604,604,4,4,1549.00,6196.00
605,605,5,1,1686.25,1686.25
606,606,6,2,1823.50,3647.00
607,607,7,3,1960.75,5882.25
608,608,8,4,2098.00,8392.00
609,609,9,1,2235.25,2235.25
610,610,10,2,2372.50,4745.00
611,611,11,3,2509.75,7529.25
612,612,12,4,2647.00,10588.00
613,613,13,1,2784.25,2784.25
614,614,14,2,2921.50,5843.00
615,615,15,3,3058.75,9176.25
616,616,16,4,3196.00,12784.00
617,617,17,1,3333.25,3333.25
618,618,18,2,3470.50,6941.00
619,619,19,3,3607.75,10823.25
620,620,20,4,3745.00,14980.00
621,621,21,1,3882.25,3882.25
622,622,22,2,4019.50,8039.00
623,623,23,3,4156.75,12470.25
624,624,24,4,4294.00,17176.00
625,625,25,1,4431.25,4431.25
626,626,26,2,4568.50,9137.00
627,627,27,3,4705.75,14117.25
628,628,28,4,4843.00,19372.00
629,629,29,1,4980.25,4980.25
630,630,30,2,5117.50,10235.00
631,631,31,3,5254.75,15764.25
632,632,32,4,5392.00,21568.00
633,633,33,1,5529.25,5529.25
634,634,34,2,5666.50,11333.00
635,635,35,3,5803.75,17411.25
636,636,36,4,5941.00,23764.00
637,637,37,1,6078.25,6078.25
638,638,38,2,6215.50,12431.00
639,639,39,3,6352.75,19058.25
640,640,40,4,6490.00,25960.00
641,641,41,1,6627.25,6627.25
642,642,42,2,6764.50,13529.00
643,643,43,3,6901.75,20705.25
644,644,44,4,7039.00,28156.00
645,645,45,1,7176.25,7176.25
646,646,46,2,7313.50,14627.00
647,647,47,3,7450.75,22352.25
648,648,48,4,7588.00,30352.00
649,649,49,1,7725.25,7725.25
650,650,50,2,7862.50,15725.00
651,651,51,3,7999.75,23999.25
652,652,52,4,8137.00,32548.00
653,653,53,1,8274.25,8274.25
654,654,54,2,8411.50,16823.00
655,655,55,3,8548.75,25646.25
656,656,56,4,8686.00,34744.00
657,657,57,1,8823.25,8823.25
658,658,58,2,8960.50,17921.00
659,659,59,3,9097.75,27293.25
660,660,60,4,9235.00,36940.00
661,661,61,1,9372.25,9372.25
662,662,62,2,9509.50,19019.00
663,663,63,3,9646.75,28940.25
664,664,64,4,9784.00,39136.00
665,665,65,1,9921.25,9921.25
666,666,66,2,10058.50,20117.00
667,667,67,3,10195.75,30587.25
668,668,68,4,10333.00,41332.00
669,669,69,1,10470.25,10470.25
670,670,70,2,10607.50,21215.00
671,671,71,3,10744.75,32234.25
672,672,72,4,10882.00,43528.00
673,673,73,1,11019.25,11019.25
674,674,74,2,11156.50,22313.00
675,675,75,3,11293.75,33881.25
676,676,76,4,11431.00,45724.00
677,677,77,1,11568.25,11568.25
678,678,78,2,11705.50,23411.00
679,679,79,3,11842.75,35528.25
680,680,80,4,11980.00,47920.00
681,681,81,1,12117.25,12117.25
682,682,82,2,12254.50,24509.00
683,683,83,3,12391.75,37175.25
684,684,84,4,12529.00,50116.00
685,685,85,1,12666.25,12666.25
686,686,86,2,12803.50,25607.00
687,687,87,3,12940.75,38822.25
688,688,88,4,13078.00,52312.00
689,689,89,1,13215.25,13215.25
690,690,90,2,13352.50,26705.00
691,691,91,3,13489.75,40469.25
692,692,92,4,13627.00,54508.00
693,693,93,1,13764.25,13764.25
694,694,94,2,13901.50,27803.00
695,695,95,3,14038.75,42116.25
696,696,96,4,14176.00,56704.00
697,697,97,1,14313.25,14313.25
698,698,98,2,14450.50,28901.00
699,699,99,3,14587.75,43763.25
700,700,100,4,14725.00,58900.00
701,701,1,1,1137.25,1137.25
702,702,2,2,1274.50,2549.00
703,703,3,3,1411.75,4235.25
704,704,4,4,1549.00,6196.00
705,705,5,1,1686.25,1686.25
706,706,6,2,1823.50,3647.00
707,707,7,3,1960.75,5882.25
708,708,8,4,2098.00,8392.00
709,709,9,1,2235.25,2235.25
710,710,10,2,2372.50,4745.00
711,711,11,3,2509.75,7529.25
712,712,12,4,2647.00,10588.00
713,713,13,1,2784.25,2784.25
714,714,14,2,2921.50,5843.00
715,715,15,3,3058.75,9176.25
716,716,16,4,3196.00,12784.00
717,717,17,1,3333.25,3333.25
718,718,18,2,3470.50,6941.00
719,719,19,3,3607.75,10823.25
720,720,20,4,3745.00,14980.00
721,721,21,1,3882.25,3882.25
722,722,22,2,4019.50,8039.00
723,723,23,3,4156.75,12470.25
724,724,24,4,4294.00,17176.00
725,725,25,1,4431.25,4431.25
726,726,26,2,4568.50,9137.00
727,727,27,3,4705.75,14117.25
728,728,28,4,4843.00,19372.00
729,729,29,1,4980.25,4980.25
730,730,30,2,5117.50,10235.00
731,731,31,3,5254.75,15764.25
732,732,32,4,5392.00,21568.00
733,733,33,1,5529.25,5529.25
734,734,34,2,5666.50,11333.00
735,735,35,3,5803.75,17411.25
736,736,36,4,5941.00,23764.00
737,737,37,1,6078.25,6078.25
738,738,38,2,6215.50,12431.00
739,739,39,3,6352.75,19058.25
740,740,40,4,6490.00,25960.00
741,741,41,1,6627.25,6627.25
742,742,42,2,6764.50,13529.00
743,743,43,3,6901.75,20705.25
744,744,44,4,7039.00,28156.00
745,745,45,1,7176.25,7176.25
746,746,46,2,7313.50,14627.00
747,747,47,3,7450.75,22352.25
748,748,48,4,7588.00,30352.00
749,749,49,1,7725.25,7725.25
750,750,50,2,7862.50,15725.00
751,751,51,3,7999.75,23999.25
752,752,52,4,8137.00,32548.00
753,753,53,1,8274.25,8274.25
754,754,54,2,8411.50,16823.00
755,755,55,3,8548.75,25646.25
756,756,56,4,8686.00,34744.00
757,757,57,1,8823.25,8823.25
758,758,58,2,8960.50,17921.00
759,759,59,3,9097.75,27293.25
760,760,60,4,9235.00,36940.00
761,761,61,1,9372.25,9372.25
762,762,62,2,9509.50,19019.00
763,763,63,3,9646.75,28940.25
764,764,64,4,9784.00,39136.00
765,765,65,1,9921.25,9921.25
766,766,66,2,10058.50,20117.00
767,767,67,3,10195.75,30587.25
768,768,68,4,10333.00,41332.00
769,769,69,1,10470.25,10470.25
770,770,70,2,10607.50,21215.00
771,771,71,3,10744.75,32234.25
772,772,72,4,10882.00,43528.00
773,773,73,1,11019.25,11019.25
774,774,74,2,11156.50,22313.00
